HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459545.76926,2021-11-27.2686067,bA,1.67,17.485,15.280,0.029,2.804,0.074,g
2459545.77051,2021-11-27.2698579,bA,1.66,17.435,15.312,0.031,2.725,0.077,g
2459545.77176,2021-11-27.2711172,bA,1.67,17.492,15.316,0.029,2.714,0.074,g
2459546.53179,2021-11-28.0312137,bi,1.45,16.678,15.280,0.060,2.806,0.155,g
2459546.53302,2021-11-28.0324468,bi,1.45,16.727,15.287,0.058,2.789,0.148,g
2459546.53425,2021-11-28.0336760,bi,1.47,16.626,15.146,0.056,3.173,0.163,g
2459551.26986,2021-12-02.7696987,bm,1.64,14.326,>14.326,99.990,3.497,1.351,g
2459551.27111,2021-12-02.7709498,bm,1.59,99.990,99.990,99.990,99.990,99.990,g
2459551.27236,2021-12-02.7722001,bm,1.64,14.266,>14.266,99.990,1.017,1.427,g
2459551.51968,2021-12-03.0195405,bE,1.65,15.772,15.211,0.131,2.991,0.357,g
2459551.52099,2021-12-03.0208539,bE,1.61,15.869,15.092,0.107,3.335,0.326,g
2459551.52229,2021-12-03.0221548,bE,1.57,16.070,15.233,0.101,2.931,0.271,g
2459552.62734,2021-12-04.1273085,bq,1.48,17.053,15.323,0.044,2.696,0.110,g
2459552.62855,2021-12-04.1285189,bq,1.47,17.115,15.240,0.039,2.910,0.104,g
2459552.62979,2021-12-04.1297658,bq,1.47,17.053,15.354,0.046,2.622,0.110,g
2459557.61986,2021-12-09.1202675,bq,1.50,16.916,15.503,0.060,2.284,0.125,g
2459557.62109,2021-12-09.1214965,bq,1.49,16.881,15.333,0.053,2.670,0.129,g
2459557.62231,2021-12-09.1227210,bq,1.50,16.902,15.402,0.055,2.507,0.126,g
2459563.61678,2021-12-15.1177344,bq,1.50,16.381,15.511,0.098,2.268,0.204,g
2459563.61800,2021-12-15.1189424,bq,1.41,16.252,15.462,0.106,2.373,0.230,g
2459563.61923,2021-12-15.1201813,bq,1.45,16.310,15.392,0.094,2.532,0.218,g
2459569.59429,2021-12-21.0957658,bq,1.59,16.352,15.310,0.084,2.729,0.209,g
2459569.59552,2021-12-21.0969973,bq,1.43,16.341,15.401,0.092,2.510,0.211,g
2459569.59677,2021-12-21.0982409,bq,1.54,16.386,15.219,0.075,2.968,0.203,g
2459571.58813,2021-12-23.0897652,bq,1.48,16.775,15.288,0.056,2.784,0.142,g
2459571.58938,2021-12-23.0910173,bq,1.46,16.717,15.273,0.058,2.823,0.150,g
2459571.59061,2021-12-23.0922484,bq,1.45,16.662,15.261,0.060,2.854,0.157,g
2459573.58640,2021-12-25.0882026,bq,1.57,14.112,>14.112,99.990,1.011,1.645,g
2459573.58763,2021-12-25.0894340,bq,1.57,13.768,>13.768,99.990,9.471,2.263,g
2459573.58886,2021-12-25.0906675,bq,1.71,13.903,>13.903,99.990,2.112,1.995,g
