HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459547.85530,2021-11-29.3536100,br,1.48,17.211,>17.211,99.990,0.200,0.095,g
2459547.85653,2021-11-29.3548391,br,1.43,17.316,>17.316,99.990,-0.055,0.086,g
2459548.85298,2021-11-30.3511891,br,1.43,17.342,>17.342,99.990,0.154,0.084,g
2459548.85424,2021-11-30.3524555,br,1.40,17.397,>17.397,99.990,0.158,0.080,g
2459548.85549,2021-11-30.3537045,br,1.48,17.340,>17.340,99.990,0.069,0.084,g
2459550.90400,2021-12-02.4020373,br,1.41,17.334,>17.334,99.990,0.144,0.085,g
2459550.90524,2021-12-02.4032793,br,1.41,17.493,>17.493,99.990,0.250,0.073,g
2459550.90647,2021-12-02.4045075,br,1.41,17.323,>17.323,99.990,0.331,0.085,g
2459550.95318,2021-12-02.4512077,br,1.74,16.833,>16.833,99.990,0.162,0.134,g
2459550.95442,2021-12-02.4524504,br,1.71,16.490,>16.490,99.990,0.209,0.184,g
2459550.95566,2021-12-02.4536906,br,1.75,16.542,>16.542,99.990,0.202,0.175,g
2459554.88551,2021-12-06.3831979,br,1.50,17.527,>17.527,99.990,0.068,0.071,g
2459554.88675,2021-12-06.3844505,br,1.50,17.405,>17.405,99.990,0.192,0.079,g
2459554.88800,2021-12-06.3856937,br,1.49,17.321,>17.321,99.990,0.138,0.086,g
2459557.93922,2021-12-09.4366619,br,1.50,16.120,>16.120,99.990,0.090,0.259,g
2459557.94046,2021-12-09.4379028,br,1.47,16.199,>16.199,99.990,-0.073,0.241,g
2459557.94170,2021-12-09.4391456,br,1.49,16.381,>16.381,99.990,0.333,0.203,g
2459563.01834,2021-12-14.5153866,br,1.43,17.352,>17.352,99.990,0.306,0.083,g
2459563.01959,2021-12-14.5166298,br,1.42,17.445,>17.445,99.990,0.198,0.076,g
2459563.02082,2021-12-14.5178668,br,1.40,17.322,>17.322,99.990,0.175,0.086,g
2459568.77568,2021-12-20.2722976,br,1.53,15.323,>15.323,99.990,-0.846,0.539,g
2459568.77694,2021-12-20.2735512,br,1.31,15.485,15.094,0.153,3.332,0.465,g
2459568.77820,2021-12-20.2748129,br,1.50,15.377,>15.377,99.990,0.964,0.513,g
2459570.79695,2021-12-22.2934292,br,1.49,15.598,>15.598,99.990,0.414,0.419,g
2459570.79817,2021-12-22.2946466,br,1.55,15.717,15.689,0.214,1.925,0.375,g
2459573.91740,2021-12-25.4136576,br,1.53,15.545,>15.545,99.990,-0.231,0.440,g
2459573.91866,2021-12-25.4149133,br,1.59,13.701,>13.701,99.990,6.216,2.406,g
2459573.91992,2021-12-25.4161756,br,1.48,14.823,>14.823,99.990,-2.712,0.855,g
2459573.95670,2021-12-25.4529548,br,2.31,15.385,>15.385,99.990,-0.793,0.509,g
2459573.95795,2021-12-25.4542027,br,2.34,15.538,>15.538,99.990,-0.111,0.443,g
2459573.95920,2021-12-25.4554527,br,2.39,15.452,>15.452,99.990,-0.278,0.479,g
2459585.87670,2022-01-06.3722650,bB,1.73,17.548,>17.548,99.990,0.139,0.069,g
2459585.87797,2022-01-06.3735319,bB,1.79,17.711,>17.711,99.990,0.059,0.060,g
2459585.87922,2022-01-06.3747810,bB,1.72,17.568,>17.568,99.990,0.055,0.068,g
2459586.95838,2022-01-07.4538934,br,1.45,17.497,>17.497,99.990,0.240,0.073,g
2459586.95962,2022-01-07.4551339,br,1.48,17.394,>17.394,99.990,0.199,0.080,g
2459586.96086,2022-01-07.4563736,br,1.42,17.494,>17.494,99.990,0.170,0.073,g
2459588.95139,2022-01-09.4468085,bB,1.72,17.821,>17.821,99.990,-0.012,0.054,g
