HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459131.70127,2020-10-09.2032732,bB,2.25,17.292,>17.292,99.990,-0.119,0.088,g
2459132.60977,2020-10-10.1118120,br,1.39,18.593,>18.593,99.990,0.005,0.027,g
2459136.64044,2020-10-14.1426935,br,1.67,18.467,>18.467,99.990,0.056,0.030,g
2459222.02875,2021-01-07.5319052,br,1.42,18.031,>18.031,99.990,0.138,0.045,g
2459229.16181,2021-01-14.6646765,bB,1.99,18.501,>18.501,99.990,-0.073,0.029,g
2459231.01153,2021-01-16.5143189,br,1.39,18.638,>18.638,99.990,-0.089,0.025,g
2459231.99279,2021-01-17.4955385,br,1.63,18.801,>18.801,99.990,-0.003,0.022,g
2459238.12252,2021-01-23.6249751,bB,2.23,18.768,>18.768,99.990,-0.044,0.023,g
2459238.98478,2021-01-24.4871913,br,1.48,18.721,>18.721,99.990,-0.014,0.024,g
2459252.08488,2021-02-06.5865696,bB,2.00,18.644,>18.644,99.990,-0.076,0.025,g
2459252.94825,2021-02-07.4498906,br,1.99,18.645,>18.645,99.990,0.058,0.025,g
2459254.95700,2021-02-09.4585126,br,1.51,17.761,>17.761,99.990,0.138,0.057,g
2459259.06642,2021-02-13.5676921,bB,2.19,18.908,>18.908,99.990,-0.036,0.020,g
2459263.06078,2021-02-17.5617913,bB,2.01,19.192,>19.192,99.990,0.001,0.015,g
2459268.04030,2021-02-22.5410003,bB,2.06,18.235,>18.235,99.990,-0.071,0.037,g
2459271.05588,2021-02-25.5563724,bB,2.01,17.529,>17.529,99.990,0.296,0.071,g
2459276.89325,2021-03-03.3933682,bj,1.60,17.211,>17.211,99.990,-0.088,0.095,g
2459279.90581,2021-03-06.4057268,bj,1.58,16.768,>16.768,99.990,-0.185,0.143,g
2459286.87027,2021-03-13.3697319,bF,1.62,18.114,>18.114,99.990,0.033,0.041,g
2459291.62423,2021-03-18.1233761,bn,1.60,18.130,>18.130,99.990,0.034,0.041,g
2459292.85774,2021-03-19.3568138,br,1.40,18.976,>18.976,99.990,-0.013,0.019,g
2459295.96531,2021-03-22.4641847,bB,2.02,18.180,>18.180,99.990,0.009,0.039,g
2459296.87546,2021-03-23.3742798,bF,1.48,18.587,>18.587,99.990,0.008,0.027,g
2459298.82898,2021-03-25.3276789,bj,1.53,18.475,>18.475,99.990,-0.002,0.030,g
2459299.88321,2021-03-26.3818413,bj,1.53,16.939,>16.939,99.990,0.312,0.122,g
2459303.99094,2021-03-30.4893239,bB,1.97,17.952,>17.952,99.990,-0.142,0.048,g
2459308.59471,2021-04-04.0928312,bn,1.49,18.024,>18.024,99.990,0.112,0.045,g
2459311.92589,2021-04-07.4238171,bB,1.72,18.894,>18.894,99.990,-0.034,0.020,g
2459312.83949,2021-04-08.3373642,bj,1.56,18.503,>18.503,99.990,-0.054,0.029,g
2459313.87177,2021-04-09.3695960,br,1.59,18.733,>18.733,99.990,-0.074,0.023,g
2459313.89465,2021-04-09.3924640,bj,1.55,18.160,>18.160,99.990,-0.053,0.040,g
2459316.93314,2021-04-12.4307975,bB,2.16,19.107,>19.107,99.990,-0.010,0.017,g
2459318.97776,2021-04-14.4753075,bB,2.10,19.038,>19.038,99.990,-0.093,0.018,g
2459321.01019,2021-04-16.5076384,bB,2.15,18.763,>18.763,99.990,-0.071,0.023,g
2459322.91258,2021-04-18.4099453,bB,1.98,19.226,>19.226,99.990,-0.036,0.015,g
2459323.88947,2021-04-19.3867821,bB,1.99,18.320,>18.320,99.990,-0.079,0.034,g
2459326.95920,2021-04-22.4563693,bB,1.98,18.934,>18.934,99.990,0.015,0.019,g
2459328.94034,2021-04-24.4374245,bB,2.19,18.077,>18.077,99.990,-0.119,0.043,g
2459333.79085,2021-04-29.2877332,bj,1.51,17.232,>17.232,99.990,-0.028,0.093,g
2459334.03349,2021-04-29.5303634,bB,2.00,17.770,>17.770,99.990,0.099,0.057,g
2459337.85914,2021-05-03.3558787,bB,2.03,18.792,>18.792,99.990,-0.038,0.022,g
2459339.83378,2021-05-05.3304586,bj,2.08,18.035,>18.035,99.990,-0.113,0.044,g
2459339.91660,2021-05-05.4132775,br,1.57,18.479,>18.479,99.990,-0.011,0.029,g
2459340.77817,2021-05-06.2748057,bj,1.69,18.107,>18.107,99.990,-0.057,0.042,g
2459343.84272,2021-05-09.3392616,bB,2.01,19.146,>19.146,99.990,-0.079,0.016,g
2459344.83526,2021-05-10.3317841,bB,1.99,18.573,>18.573,99.990,-0.062,0.027,g
2459346.98097,2021-05-12.4774332,bB,2.10,18.860,>18.860,99.990,-0.111,0.021,g
2459349.88699,2021-05-15.3833776,bB,2.14,19.469,>19.469,99.990,-0.023,0.012,g
