 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 596 6 1 ZTF_r 1290477472115 0 2.0256 171.291 5.96874 26.3079 3.9226e-06 0.0284396 0.0934265 7.05432e-06 1355 30. 0.107916 0.044181 20.5736 26.3079 1 2459044.9774769 596120221 -143.316057717559 29.3108273973766 -5.43903152852475 1.79807641982389 -84.7084811146868 54.3476174684953 -1.56913957926719 1.04365916251477 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 20 596 6 1 ZTF_r 1291357452115 0 1.977 170.921 4.8045 26.2949 8.0326e-06 0.0406059 0.0865164 1.45571e-05 1348 30. 0.175582 0.047585 20.7812 26.2949 1 2459045.8574537 596120221 -189.371210205774 31.1290583515816 -6.76710277179569 2.34307625343963 -255.82313542682 56.7799830908748 -4.53586114230581 1.04576626787894 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 21 596 6 1 ZTF_g 1291442032115 0 1.9316 112.065 4.41419 26.3308 1.80807e-05 0.0609871 -0.159583 3.31358e-05 1352 30. 0.170659 0.0467 20.8991 26.3308 1 2459045.942037 596120121 -80.0047971205453 26.463638867979 -3.36295664117813 1.89639355778254 -266.29348627616 49.6604508226968 -5.39840021155979 1.04588518285707 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 22 596 6 1 ZTF_r 1292424382115 0 1.6542 173.195 5.0017 26.3215 7.3399e-06 0.0390298 0.086617 1.31864e-05 1356 30. 0.146699 0.049299 20.8551 26.3215 1 2459046.9243866 596120221 -52.651740372653 32.7052868357359 -1.79081024317274 1.9658564645955 -134.186947952149 63.7397160300208 -2.1194117762215 1.03713765894428 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 23 596 6 1 ZTF_r 1294403502115 0 1.5186 173.33 5.21726 26.3322 6.2179e-06 0.0358361 0.089411 1.12407e-05 1352 30. 0.123083 0.056154 20.8489 26.3322 1 2459048.9035069 596120221 8.44745114577709 27.3395751319771 0.343707278235842 2.46182024807252 -102.383497768239 54.2628834188582 -1.8995130745395 1.032582231791 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 24 596 6 1 ZTF_g 1294443172115 0 1.7548 112.132 4.3509 26.3348 1.85943e-05 0.0617085 -0.161495 3.39667e-05 1344 30. 0.165447 0.044498 20.9683 26.3348 1 2459048.9431713 596120121 -198.453142051307 22.1718830261776 -9.95658032468217 2.22717377675259 -355.077022450951 42.9360002595276 -8.32561217779383 1.0431113976438 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 25 596 6 1 ZTF_g 1294490822115 0 1.7034 110.498 10.8854 26.3283 4.4549e-06 0.0295114 -0.0627115 8.49294e-06 1304 30. 0.049691 0.046923 20.0724 26.3283 1 2459048.9908218 596120121 38.5447329646666 38.2117096011459 1.12207884310529 1.21922315380393 128.469350580792 75.5462461706107 1.7119923967677 1.04231534727307 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 26 596 6 1 ZTF_r 1297392732115 0 1.8367 169.645 4.86496 26.2823 8.4166e-06 0.0419133 0.0904503 1.51183e-05 1366 30. 0.163517 0.046808 20.8034 26.2823 1 2459051.8927315 596120221 15.0705536896266 30.7983370948614 0.544323070139203 1.81836619474063 -143.715348045657 57.353516357245 -2.52265751732094 1.0456215524087 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 27 596 6 1 ZTF_r 1297412822115 0 1.6039 169.22 4.7729 26.2926 8.3501e-06 0.0413994 0.0881958 1.51411e-05 1351 30. 0.152642 0.048564 20.8816 26.2926 1 2459051.9128241 596120221 -23.8154273714633 29.562543865422 -0.896130745777437 2.05698082509507 36.9158839956955 57.8474351296034 0.642457431605979 1.03929308541331 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 28 596 6 1 ZTF_g 1297458682115 0 2.3288 107.03 3.93773 26.2688 2.66951e-05 0.0741641 -0.177023 4.84793e-05 1350 30. 0.231142 0.050393 20.8015 26.2688 1 2459051.9586806 596120121 -86.9091495860391 30.1828089707519 -3.20302734519861 1.66359550229773 -132.12731597736 52.3348590046701 -2.54165585963518 1.06010386303463 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 29 596 6 1 ZTF_g 1299370172115 0 1.8286 111.498 3.61607 26.3523 3.2955e-05 0.0827603 -0.223351 5.98173e-05 1359 30. 0.252279 0.047224 21.1061 26.3523 1 2459053.8701736 596120121 -164.427341866151 23.0403302171339 -7.93853087070854 1.98534283057719 -139.767674367022 44.1533928499101 -3.18682231677448 1.05023403433796 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 30 596 6 1 ZTF_r 1300386282115 0 1.7125 172.692 4.61606 26.3174 9.5088e-06 0.044514 0.0830449 1.70958e-05 1365 30. 0.180612 0.048415 20.903 26.3174 1 2459054.8862847 596120221 6.02553301893625 30.8852125720403 0.217019958936895 2.68415225642873 -140.030571191693 59.0074494058765 -2.38908284572076 1.03976759463523 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 31 596 6 1 ZTF_r 1300399622115 0 2.0925 173.959 4.60355 26.3037 9.7322e-06 0.0448389 0.0836065 1.76216e-05 1358 30. 0.199227 0.044753 20.8022 26.3037 1 2459054.8996296 596120221 -53.0530562365786 37.5577802683515 -1.57132236423653 1.71938172119089 -200.504326455866 68.6898549374114 -2.93863969889687 1.04601911601017 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 32 596 6 1 ZTF_g 1300442922115 0 2.0915 110.701 3.74855 26.3185 3.10899e-05 0.0800166 -0.20834 5.69197e-05 1351 30. 0.252004 0.045507 20.9928 26.3185 1 2459054.9429282 596120121 -154.093972902922 23.6214490220199 -7.25661226166954 2.05448395456194 -210.263455510538 42.3122890076555 -5.00279226072103 1.05706818179955 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 33 596 6 1 ZTF_g 1301412262115 0 2.0752 108.02 3.89476 26.2873 2.62236e-05 0.0736595 -0.187394 4.77448e-05 1352 30. 0.230039 0.045717 20.9506 26.2873 1 2459055.9122685 596120121 -249.982331707728 24.5655466865002 -11.319772072226 1.93639941932811 -301.218224452626 44.9989629277505 -6.73897634067179 1.05608641151946 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 34 596 6 1 ZTF_r 1301454822115 0 1.7707 169.727 4.74235 26.3002 8.0714e-06 0.0407453 0.0832966 1.46384e-05 1356 30. 0.164487 0.046028 20.8491 26.3002 1 2459055.9548264 596120221 -109.88494592594 31.3233926308126 -3.90233191338649 2.17885903130026 -254.667435337547 60.3183873177644 -4.25048889016477 1.03915015984497 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
