 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 596 6 1 ZTF_g 1326429322115 0 1.958 81.723 4.80503 25.9794 1.43481e-05 0.0543069 -0.140083 2.63114e-05 1346 30. 0.128739 0.049516 20.4848 25.9794 1 2459080.9293287 596120121 -73.3942683123211 22.0555062452987 -3.70168889126254 1.6405826209835 -116.365505512579 41.8975575319421 -2.79608742819846 1.04440894782548 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 20 596 6 1 ZTF_g 1327309302115 0 1.8507 89.3254 4.15116 26.0684 2.43671e-05 0.0707755 -0.158315 4.47765e-05 1339 30. 0.175506 0.047852 20.758 26.0684 1 2459081.8093056 596120121 -86.6795285975916 22.1193187782524 -4.35912772457024 2.22254732552132 -179.328301943883 42.7021752553384 -4.22779606180701 1.04621641746622 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 21 596 6 1 ZTF_g 1327318192115 0 1.7768 89.4774 4.15052 26.0727 2.49445e-05 0.0712826 -0.160162 4.59916e-05 1330 30. 0.167851 0.046881 20.7884 26.0727 1 2459081.8181944 596120121 -102.282039070544 21.568008822232 -5.27526311686016 1.75872251097074 -121.570362481482 41.9730164370716 -2.91590064895212 1.04520357333218 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 22 596 6 1 ZTF_r 1327368782115 0 2.0019 149.523 5.45044 26.1583 5.794e-06 0.0348 0.095531 1.04884e-05 1362 30. 0.127547 0.048295 20.5664 26.1583 1 2459081.8687847 596120221 101.901058977517 28.3064885392409 4.00449264701923 2.25510256665239 -47.7549773680196 52.7729791988759 -0.911008069243048 1.0351248998347 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 56
 23 596 6 1 ZTF_r 1327405102115 0 1.63 147.264 5.79507 26.1403 4.7716e-06 0.0315218 0.0984586 8.53247e-06 1363 30. 0.101135 0.053369 20.5627 26.1403 1 2459081.9051042 596120221 -61.5080528014027 25.8807465365546 -2.64368666303987 2.17521008209845 -192.999141706724 51.2466724764499 -3.79144620793859 1.0312146070675 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 24 596 6 1 ZTF_g 1328360822115 0 1.8361 25.2646 5.26757 24.6856 5.6389e-05 0.0859088 -0.0673449 0.000132615 957 30. 0.111984 0.051498 19.1296 24.6856 1 2459082.8608218 596120121 122.163349513475 23.3281834829287 5.82525324437092 1.15124795178387 288.377756468399 45.0829548791676 6.43968431146815 1.04340931317699 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 25 596 6 1 ZTF_g 1330338402115 0 1.8798 94.235 4.36969 26.1443 1.82661e-05 0.0613175 -0.160436 3.3226e-05 1348 30. 0.163647 0.045552 20.7625 26.1443 1 2459084.8384028 596120121 -13.2942554722867 24.1152313999609 -0.613235640740628 2.0161775311159 -88.5209130145568 46.7833744942872 -1.90488838011535 1.03964690301366 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 26 596 6 1 ZTF_g 1331354422115 0 1.9204 102.841 4.14338 26.2457 2.15703e-05 0.066864 -0.178426 3.88249e-05 1356 30. 0.193326 0.04338 20.8939 26.2457 1 2459085.8544213 596120121 7.02961771027276 23.6457494590174 0.330699413722821 1.78119807299885 60.3351686801632 45.0854651820177 1.34725302860642 1.04665511529467 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 27 596 6 1 ZTF_r 1332331082115 0 1.6386 164.292 5.46202 26.2647 5.1346e-06 0.0325871 0.0881128 9.24104e-06 1356 30. 0.116342 0.049793 20.7378 26.2647 1 2459086.831088 596120221 -25.4801356266376 28.2389527714567 -1.00370930276009 2.02655619553985 -226.898884166117 55.7520573280854 -4.09719519158462 1.03369835976792 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 28 596 6 1 ZTF_r 1333271012115 0 2.0159 148.201 7.43023 26.1589 3.1038e-06 0.0253714 0.0999032 5.54507e-06 1363 30. 0.079845 0.047898 20.1657 26.1589 1 2459087.7710185 596120221 -350.231532929954 33.197399741636 -11.7356183661421 1.6647663309725 -241.124691689628 63.0081666642903 -3.85265423853099 1.03662527866094 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
