HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459638.88032,2022-02-28.3752813,bB,1.73,19.128,>19.128,99.990,0.019,0.016,g
2459641.99472,2022-03-03.4897818,bB,2.31,18.818,>18.818,99.990,-0.058,0.022,g
2459643.76442,2022-03-05.2595385,br,1.40,18.699,>18.699,99.990,-0.010,0.024,g
2459645.01274,2022-03-06.5079129,bB,1.72,18.731,>18.731,99.990,-0.065,0.023,g
2459646.85430,2022-03-08.3495348,br,1.40,18.654,>18.654,99.990,0.001,0.025,g
2459648.93948,2022-03-10.4348231,bB,2.02,19.311,>19.311,99.990,-0.010,0.014,g
2459651.77950,2022-03-13.2749662,bB,1.73,17.662,>17.662,99.990,0.092,0.063,g
2459657.95140,2022-03-19.4472104,bB,2.01,17.360,>17.360,99.990,0.014,0.083,g
2459659.92111,2022-03-21.4170270,bB,2.02,17.581,>17.581,99.990,-0.142,0.067,g
2459661.92648,2022-03-23.4225181,bB,1.72,17.794,>17.794,99.990,0.032,0.055,g
2459664.80839,2022-03-26.3046096,bB,2.00,18.720,>18.720,99.990,-0.057,0.024,g
2459665.84931,2022-03-27.3456042,br,1.41,18.318,>18.318,99.990,0.079,0.034,g
2459666.85209,2022-03-28.3484508,br,1.41,18.318,>18.318,99.990,-0.043,0.034,g
2459671.69241,2022-04-02.1891012,br,1.41,18.391,>18.391,99.990,-0.006,0.032,g
2459672.83441,2022-04-03.3311921,br,1.37,18.575,>18.575,99.990,-0.015,0.027,g
2459673.83653,2022-04-04.3333827,br,1.44,17.795,>17.795,99.990,0.165,0.055,g
2459674.83008,2022-04-05.3270055,br,1.46,18.625,>18.625,99.990,0.028,0.026,g
2459676.84519,2022-04-07.3422792,br,1.51,18.278,>18.278,99.990,0.048,0.035,g
2459678.65780,2022-04-09.1550265,br,1.43,17.855,>17.855,99.990,0.041,0.052,g
2459679.83792,2022-04-10.3352372,br,1.48,17.420,>17.420,99.990,-0.007,0.078,g
2459691.67446,2022-04-22.1727787,br,1.41,18.934,>18.934,99.990,0.005,0.019,g
2459692.67742,2022-04-23.1758241,br,1.41,18.806,>18.806,99.990,-0.012,0.022,g
2459693.80080,2022-04-24.2993156,br,1.38,18.234,>18.234,99.990,0.098,0.037,g
2459695.68362,2022-04-26.1822953,br,1.35,18.431,>18.431,99.990,-0.033,0.031,g
2459696.69915,2022-04-27.1979071,br,1.41,18.189,>18.189,99.990,0.004,0.038,g
2459701.65857,2022-05-02.1577773,br,1.39,18.491,>18.491,99.990,-0.053,0.029,g
2459705.66288,2022-05-06.1624587,br,1.41,18.179,>18.179,99.990,0.025,0.039,g
2459719.71586,2022-05-20.2167340,br,1.43,18.283,>18.283,99.990,-0.014,0.035,g
2459720.70794,2022-05-21.2088983,br,1.41,18.369,>18.369,99.990,-0.101,0.033,g
2459724.69499,2022-05-25.1963142,br,1.72,17.731,>17.731,99.990,-0.053,0.059,g
2459726.70194,2022-05-27.2034467,br,1.41,17.873,>17.873,99.990,0.040,0.052,g
2459728.65937,2022-05-29.1610471,br,1.70,17.816,>17.816,99.990,-0.161,0.054,g
2459731.68077,2022-06-01.1827160,br,1.44,17.666,>17.666,99.990,0.049,0.062,g
2459734.67037,2022-06-04.1725686,br,1.73,17.198,17.166,0.213,0.494,0.096,g
