HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458430.63750,2018-11-08.1328021,bk,1.45,18.280,>18.280,99.990,-0.258,0.035,g
2458430.90761,2018-11-08.4029031,bs,1.41,18.405,17.986,0.148,0.232,0.032,g
2458435.09261,2018-11-12.5877100,bc,1.53,17.847,16.710,0.076,0.794,0.056,V
2458435.65730,2018-11-13.1523770,bk,1.56,18.560,>18.560,99.990,-0.072,0.027,g
2458436.65272,2018-11-14.1477644,bk,1.49,18.339,>18.339,99.990,-0.277,0.034,g
2458437.36581,2018-11-14.8608162,bo,1.50,18.482,>18.482,99.990,-0.107,0.029,g
2458438.42736,2018-11-15.9223309,bo,1.42,18.217,>18.217,99.990,0.081,0.038,g
2458438.69605,2018-11-16.1910172,bs,1.43,18.255,17.332,0.093,0.424,0.036,g
2458440.67857,2018-11-18.1734695,bk,1.44,17.945,>17.945,99.990,0.053,0.048,g
2458441.66058,2018-11-19.1554481,bk,1.67,17.649,17.326,0.163,0.426,0.063,g
2458442.72161,2018-11-20.2164420,bG,1.60,17.515,16.955,0.130,0.600,0.072,g
2458444.53573,2018-11-22.0305100,bo,1.58,17.027,>17.027,99.990,0.135,0.112,g
2458448.98729,2018-11-26.4819643,bc,1.42,17.118,>17.118,99.990,0.422,0.109,V
2458449.70819,2018-11-27.2028490,bG,1.40,17.804,17.793,0.217,0.277,0.055,g
2458450.92543,2018-11-28.4200694,bc,1.39,17.549,16.293,0.069,1.166,0.073,V
2458452.97955,2018-11-30.4741542,bC,1.47,18.305,17.299,0.086,0.437,0.035,g
2458453.98362,2018-12-01.478225,bC,1.39,18.264,17.378,0.096,0.406,0.036,g
2458454.80867,2018-12-02.3032531,bs,1.59,17.961,16.353,0.049,1.044,0.048,g
2458455.47316,2018-12-02.9677342,bo,1.43,18.163,17.583,0.128,0.336,0.039,g
2458455.56888,2018-12-03.0634625,bG,1.46,17.838,16.642,0.072,0.800,0.053,g
2458456.56257,2018-12-04.0571476,bk,1.44,18.327,>18.327,99.990,-0.160,0.034,g
2458456.85917,2018-12-04.3537454,bs,1.48,18.272,17.127,0.076,0.512,0.036,g
2458457.49920,2018-12-04.9937755,bo,1.43,18.371,18.261,0.197,0.180,0.033,g
2458457.85551,2018-12-05.3500795,bs,1.45,17.935,16.375,0.052,1.023,0.049,g
2458458.55638,2018-12-06.0509351,bk,1.51,18.297,17.965,0.161,0.237,0.035,g
